Velocidad,Amplitud,kp
0.008, 40,1
0.008, 40,1
0.009,50,1
0.007, 30,1
0.006, 20,1
0.008, 40,0
0.008, 40,0
0.009,50,0
0.007, 30,0
0.006, 20,0
0.008, 40,1
